Rank,Title,Year,Tomatometer,Critics Consensus,Synopsis,Starring,Directed By
85,Shortcomings,2023,85%,"Randall Park's directorial debut has humor and heart, giving star Justin H. Min a swoonworthy starring vehicle with few Shortcomings.","Ben, a struggling filmmaker, lives in Berkeley, California, with his girlfriend, Miko, who works for a local Asian American film [More]","Justin H. Min, Sherry Cola, Ally Maki, Debby Ryan",Randall Park
86,Erin Brockovich,2000,85%,"Taking full advantage of Julia Roberts's considerable talent and appeal, Erin Brockovich overcomes a few character and plot issues to deliver a smart, thoughtful, and funny legal drama.",Erin Brockovich (Julia Roberts) is a woman in a tight spot. Following a car accident in which Erin is not [More],"Julia Roberts, Albert Finney, Aaron Eckhart, Marg Helgenberger",Steven Soderbergh
87,Meet the Parents,2000,85%,"Despite sometimes sitcom-like execution, Meet the Parents is a hilarious look at familial relationships that works mostly because the chemistry between its two leads is so effective.",Everything that can possibly go wrong for groom-to-be Greg Focker (Ben Stiller) does. The problems begin with Greg's disastrous first [More],"Robert De Niro, Ben Stiller, Blythe Danner, Teri Polo",Jay Roach
88,Notting Hill,1999,84%,"A rom-com with the right ingredients, Notting Hill proves there's nothing like a love story well told -- especially when Hugh Grant and Julia Roberts are your leads.",William Thacker (Hugh Grant) is a London bookstore owner whose humdrum existence is thrown into romantic turmoil when famous American [More],"Julia Roberts, Hugh Grant, Hugh Bonneville, Emma Chambers",Roger Michell
89,Munich: The Edge of War,2021,84%,"Sharp direction and some outstanding performances make Munich: The Edge of War a gripping historical drama, even though the ending's no secret.",Based on the international bestseller by Robert Harris. It is Autumn 1938 and Europe stands on the brink of war. [More],"Jessica Brown Findlay, George MacKay, Jeremy Irons, Liv Lisa Fries",Christian Schwochow
90,Heat,1995,83%,"Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre.","Master criminal Neil McCauley (Robert De Niro) is trying to control the rogue actions of one of his men, while [More]","Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",Michael Mann
91,Liar Liar,1997,83%,"Despite its thin plot, Liar Liar is elevated by Jim Carrey's exuberant brand of physical humor, and the result is a laugh riot that helped to broaden the comedian's appeal.","Conniving attorney Fletcher Reede is an ace in the courtroom, but his dishonesty and devotion to work ruin his relationships. [More]","Jim Carrey, Maura Tierney, Jennifer Tilly, Swoosie Kurtz",Tom Shadyac
92,The Outrun,2024,82%,"Benefiting from Saoirse Ronan's deeply committed performance in the central role, The Outrun proves a moving portrait of addiction in spite of its somewhat shapeless narrative.","Rona, fresh out of rehab, returns to the wild Orkney Islands after more than a decade away. As she reconnects [More]","Saoirse Ronan, Saskia Reeves, Stephen Dillane, Lauren Lyle",Nora Fingscheidt
93,Mr. Peabody & Sherman,2014,81%,"Mr. Peabody & Sherman offers a surprisingly entertaining burst of colorful all-ages fun, despite its dated source material and rather convoluted plot.","Mr. Peabody (Ty Burrell), the most accomplished canine in the world, and his boy, Sherman (Max Charles), use a time [More]","Ty Burrell, Max Charles, Ariel Winter, Stephen Colbert",Rob Minkoff
94,The Place Beyond the Pines,2012,79%,"Ambitious to a fault, The Place Beyond the Pines finds writer/director Derek Cianfrance reaching for -- and often grasping -- thorny themes of family, fatherhood, and fate.","In upstate New York, two men (Ryan Gosling, Bradley Cooper), and later, their sons (Dane DeHaan, Emory Cohen) must deal [More]","Ryan Gosling, Bradley Cooper, Eva Mendes, Rose Byrne",Derek Cianfrance
95,Rudy,1993,78%,"Though undeniably sentimental and predictable, Rudy succeeds with an uplifting spirit and determination.","Rudy Ruettiger (Sean Astin) wants to play football at the University of Notre Dame, but has neither the money for [More]","Sean Astin, Ned Beatty, Charles S. Dutton, Robert Prosky",David Anspaugh
96,Despicable Me 2,2013,75%,Despicable Me 2 offers plenty of eye-popping visual inventiveness and a number of big laughs.,"Now that Gru has forsaken a life of crime to raise Margo, Agnes and Edith, he's trying to figure out [More]","Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove","Chris Renaud, Pierre Coffin"
97,Rise of the Guardians,2012,75%,"A sort of Avengers for the elementary school set, Rise of the Guardians is wonderfully animated and briskly paced, but it's only so-so in the storytelling department.","Generation after generation, immortal Guardians like Santa Claus (Alec Baldwin), the Easter Bunny (Hugh Jackman) and the Tooth Fairy (Isla [More]","Chris Pine, Alec Baldwin, Jude Law, Isla Fisher",Peter Ramsey
98,Wedding Crashers,2005,75%,"Wedding Crashers is both raunchy and sweet, and features top-notch comic performances from Vince Vaughn and Owen Wilson.",Jeremy (Vince Vaughn) and John (Owen Wilson) are divorce mediators who spend their free time crashing wedding receptions. For the [More],"Owen Wilson, Vince Vaughn, Christopher Walken, Rachel McAdams",David Dobkin
99,The Mauritanian,2021,75%,"The Mauritanian takes a frustratingly generic approach to a real-life story that might have been inspirational in other hands, but Tahar Rahim's performance elevates the uneven material.","Directed by Kevin Macdonald and based on the NY Times best-selling memoir ""Guantánamo Diary"" by Mohamedou Ould Slahi, this is [More]","Jodie Foster, Tahar Rahim, Shailene Woodley, Benedict Cumberbatch",Kevin Macdonald
100,Get Him to the Greek,2010,72%,"Thanks to a suitably raunchy script and a pair of winning performances from Jonah Hill and Russell Brand, Get Him to the Greek is one of the year's funniest comedies.","An ambitious executive at a record company, Aaron Green (Jonah Hill) gets what looks like an easy assignment: He must [More]","Jonah Hill, Russell Brand, Elisabeth Moss, Rose Byrne",Nicholas Stoller
